央视频道,#genre#
CCTV1,http://39.134.87.62/000000001000/5000000010000030810/index.m3u8
CCTV2,http://39.134.87.62/000000001000/5000000011000031101/index.m3u8
CCTV3,http://39.134.87.62/000000001000/5000000004000008883/index.m3u8
CCTV4,http://39.134.87.62/000000001000/5000000011000031102/index.m3u8
CCTV5,http://39.134.87.62/000000001000/5000000004000008885/index.m3u8
CCTV6,http://39.134.87.62/000000001000/5000000004000008886/index.m3u8
CCTV7,http://39.134.87.62/000000001000/5000000011000031104/index.m3u8
CCTV8,http://39.134.87.62/000000001000/5000000004000008888/index.m3u8
CCTV10,http://39.134.87.62/000000001000/5000000010000016738/index.m3u8
CCTV11,http://39.134.87.62/000000001000/5000000011000031106/index.m3u8
CCTV12,http://39.134.87.62/000000001000/5000000011000031107/index.m3u8
CCTV13,http://39.134.87.62/000000001000/5000000011000031108/index.m3u8
CCTV14,http://39.134.87.62/000000001000/5000000010000023358/index.m3u8
CCTV15,http://39.134.87.62/000000001000/5000000011000031109/index.m3u8
CETV1,http://39.134.87.62/000000001000/5000000002000002652/index.m3u8
CETV4,http://39.134.87.62/000000001000/5000000006000012123/index.m3u8
CGTN,http://39.134.87.62/000000001000/4810873738577663591/index.m3u8


上海频道,#genre#
新闻综合,http://39.134.87.62/000000001000/5000000011000031110/index.m3u8
上海都市,http://39.134.87.62/000000001000/5000000010000018926/index.m3u8
上海外语,http://39.134.87.62/000000001000/5000000010000030951/index.m3u8
东方财经,http://39.134.87.62/000000001000/5000000010000027146/index.m3u8
五星体育,http://39.134.87.62/000000001000/5000000010000017540/index.m3u8
东方影视,http://39.134.87.62/000000001000/5000000010000032212/index.m3u8
东方财经,http://39.134.87.62/000000001000/5000000007000010003/index.m3u8
金色学堂,http://39.134.87.62/000000001000/5000000010000026105/index.m3u8
法治天地,http://39.134.87.62/000000001000/9001547084732463424/index.m3u8

卫视频道,#genre#
东方卫视,http://39.134.87.62/000000001000/5000000010000032246/index.m3u8
东南卫视,http://39.134.87.62/000000001000/5000000001000005829/index.m3u8
北京卫视,http://39.134.87.62/000000001000/5000000010000011502/index.m3u8
云南卫视,http://39.134.87.62/000000001000/5000000011000031120/index.m3u8
兵团卫视,http://39.134.87.62/000000001000/5000000006000040020/index.m3u8
内蒙古卫视,http://39.134.87.62/000000001000/7331079758781182663/index.m3u8
厦门卫视,http://39.134.87.62/000000001000/5084893189220221988/index.m3u8
吉林卫视,http://39.134.87.62/000000001000/5000000011000031117/index.m3u8
四川卫视,http://39.134.87.62/000000001000/5000000004000006119/index.m3u8
宁夏卫视,http://39.134.87.62/000000001000/5000000006000040022/index.m3u8
安徽卫视,http://39.134.87.62/000000001000/5000000001000027288/index.m3u8
山东卫视,http://39.134.87.62/000000001000/5000000010000027763/index.m3u8
山西卫视,http://39.134.87.62/000000001000/5000000006000040023/index.m3u8
广东卫视,http://39.134.87.62/000000001000/5000000010000030417/index.m3u8
广西卫视,http://39.134.87.62/000000001000/5000000011000031118/index.m3u8
江苏卫视,http://39.134.87.62/000000001000/5000000010000018509/index.m3u8
江西卫视,http://39.134.87.62/000000001000/5000000001000032154/index.m3u8
河北卫视,http://39.134.87.62/000000001000/5000000006000040016/index.m3u8
河南卫视,http://39.134.87.62/000000001000/5000000011000031119/index.m3u8
浙江卫视,http://39.134.87.62/000000001000/5000000010000017320/index.m3u8
海南卫视,http://39.134.87.62/000000001000/5000000004000006211/index.m3u8
深圳卫视,http://39.134.87.62/000000001000/5000000010000024026/index.m3u8
湖北卫视,http://39.134.87.62/000000001000/5000000010000022140/index.m3u8
湖南卫视,http://39.134.87.62/000000001000/5000000010000030452/index.m3u8
甘肃卫视,http://39.134.87.62/000000001000/5000000006000040021/index.m3u8
贵州卫视,http://39.134.87.62/000000001000/5000000004000025843/index.m3u8
辽宁卫视,http://39.134.87.62/000000001000/5000000001000008940/index.m3u8
重庆卫视,http://39.134.87.62/000000001000/5000000004000025797/index.m3u8
陕西卫视,http://39.134.87.62/000000001000/5000000006000040017/index.m3u8
青海卫视,http://39.134.87.62/000000001000/5000000006000040015/index.m3u8
黑龙江卫视,http://39.134.87.62/000000001000/5000000010000031107/index.m3u8

都市剧场,#genre#
欢笑剧场,http://39.134.87.62/000000001000/5000000002000009455/index.m3u8
都市剧场,http://39.134.87.62/000000001000/5000000011000031111/index.m3u8

特区频道,#genre#
凤凰卫视,http://223.110.245.139/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰卫视,http://198.16.100.186:8278/phoenixtv_hd/playlist.m3u8?tid=MF6F2163882521638825&ct=19249&tsum=2375037c2689c4190d14c8a52bc35c83
莲花卫视,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
莲花卫视,http://8.138.7.223/tv/lotustv.m3u8
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/ap-northeast-1/6282251407001/profile_0/chunklist.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8
BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC2,http://198.16.100.186:8278/bbc2_antik/playlist.m3u8?tid=MABA3261818232618182&ct=19254&tsum=3aebf2128ba27b23c78bfd4160c63750
SkyNews,http://38b891c9.rossteleccom.net/iptv/SQNLRPBE7FFE8V/2475/index.m3u8
